# NAVSIM Weapons Database
# All weapons used by ships in the simulation.
# MuzzleVel: m/s for guns; Mach number for missiles/torpedoes (converted to m/s * 340 in code)
# MountPosition: BOW=0 AMIDSHIPS=1 STERN=2
# Type: SSM SAM TORPEDO GUN5IN GUN130MM GUN76MM CIWS CRUISE ASROC HARM
# IsAntiAir,IsCIWS,IsSAM,IsAntiSub,IsSeaSkimmer,IsHARM: 0 or 1
# MagazineLimit: physical max rounds (for CIWS barrel wear tracking)
Name,Type,Range,PHit,Damage,SalvoSize,ReloadTicks,Ammo,MuzzleVel,Mass,ElevAngle,GuidanceQuality,IsAntiAir,IsCIWS,IsSAM,IsAntiSub,IsSeaSkimmer,IsHARM,MagazineLimit,MountPosition,WarheadKg,Notes
P-500 Bazalt,SSM,140,0.48,165,2,65,16,2.5,4800,0,0.70,0,0,0,0,1,0,16,1,500,SS-N-12 Sandbox; supersonic sea-skimmer
P-270 Moskit,SSM,65,0.58,145,2,52,8,3.0,4500,0,0.74,0,0,0,0,1,0,8,1,300,SS-N-22 Sunburn; supersonic sea-skimmer Mach 3
P-120 Malakhit,SSM,45,0.52,110,2,48,6,0.95,870,0,0.70,0,0,0,0,0,0,6,1,150,SS-N-9 Siren; subsonic
P-70 Ametist,SSM,35,0.48,98,1,58,8,0.95,560,0,0.65,0,0,0,0,0,0,8,0,80,SS-N-7 Starbright; sub-launched
3M-54 Kalibr,CRUISE,160,0.58,170,1,110,8,0.80,1400,0,0.75,0,0,0,0,0,0,8,1,200,SS-N-27 Sizzler; sub-launched cruise missile
S-300F Fort,SAM,80,0.64,50,2,26,64,6.0,1800,0,0.84,1,0,1,0,0,0,64,1,130,SA-N-6 Grumble; long-range area defense
Kinzhal SAM,SAM,12,0.56,40,2,18,192,2.8,330,0,0.76,1,0,1,0,0,0,192,1,15,SA-N-9 Gauntlet; VLS point defense
Shtil,SAM,28,0.54,35,1,20,48,3.5,715,0,0.72,1,0,1,0,0,0,48,1,70,SA-N-7/12 Gadfly; medium-range
Osa-M,SAM,12,0.48,28,1,18,20,2.4,186,0,0.65,1,0,1,0,0,0,20,1,15,SA-N-4 Gecko; short-range point defense
AK-630,CIWS,1.2,0.52,14,1,3,3000,900,30,80,0.88,1,1,0,0,0,0,3000,1,0,30mm 6-barrel rotary; overheats after ~500 burst rounds
AK-630M,CIWS,1.5,0.54,15,1,3,3000,900,30,80,0.90,1,1,0,0,0,0,3000,1,0,Improved AK-630
Kashtan CIWS,CIWS,2.5,0.60,20,1,4,2400,900,30,82,0.92,1,1,1,0,0,0,2400,1,0,30mm + SA-N-11 missiles combined system
AK-130,GUN130MM,13,0.44,32,5,7,560,850,33.4,48,0,0,0,0,0,0,0,560,0,33,Twin 130mm; high rate of fire
AK-100,GUN130MM,11,0.42,30,4,8,480,900,30,45,0,0,0,0,0,0,0,480,0,33,Single 100mm; AK-100
AK-726,GUN76MM,9,0.40,22,4,7,400,900,27,50,0,0,0,0,0,0,0,400,0,16,Twin 76mm
AK-176,GUN76MM,8,0.38,20,5,6,350,900,25,52,0,0,0,0,0,0,0,350,0,16,Single 76mm automatic
SET-65,TORPEDO,15,0.64,150,1,70,40,45,400,0,0.62,0,0,0,1,0,0,40,0,205,Soviet heavyweight ASW torpedo
SET-40,TORPEDO,5,0.52,110,1,80,4,35,180,0,0.48,0,0,0,1,0,0,4,0,80,Lightweight ASW torpedo
SET-53M,TORPEDO,8,0.58,125,1,75,8,40,305,0,0.55,0,0,0,1,0,0,8,0,100,Anti-sub torpedo
USET-80,TORPEDO,18,0.68,195,1,85,18,50,830,0,0.66,0,0,0,1,0,0,18,0,240,Universal Electric Torpedo
RPK-2 Viyuga,ASROC,35,0.56,120,1,72,16,2.2,565,0,0.70,0,0,0,1,0,0,16,1,60,SS-N-15 Starfish; rocket-delivered torpedo
RPK-6 Vodopad,ASROC,25,0.54,115,1,75,20,2.0,550,0,0.68,0,0,0,1,0,0,20,1,60,SS-N-16 Stallion; longer range version
